p,L,boundary_gap
0.25,1.9179102616724886,NaN
0.2684200049420297,1.9179102616724886,NaN
0.28819719621231704,1.9179102616724886,NaN
0.309431571326357,1.9179102616724886,NaN
0.3322304956185631,1.9179102616724886,NaN
0.35670924510331076,1.9179102616724886,NaN
0.38299158933399347,1.9179102616724886,NaN
0.41121041720714535,1.9179102616724886,NaN
0.44150840887582427,1.9179102616724886,NaN
0.47403875716958577,1.9179102616724886,NaN
0.5089659421686953,1.9179102616724886,1.7910498685821503
0.5464665628489841,1.9179102616724886,NaN
0.5867302300023132,1.9179102616724886,NaN
0.6299605249474366,1.9179102616724886,NaN
0.6763760288786983,1.9179102616724886,NaN
0.7262114280571625,1.9179102616724886,NaN
0.7797187004322481,1.9179102616724886,NaN
0.8371683896936681,1.9179102616724886,NaN
0.8988509731955419,1.9179102616724886,NaN
0.9650783306691824,1.9179102616724886,NaN
1.0361853211506709,1.9179102616724886,NaN
1.1125314760964868,1.9179102616724886,NaN
1.1945028172479306,1.9179102616724886,NaN
1.2825138084358318,1.9179102616724886,NaN
1.3770094511942694,1.9179102616724886,NaN
1.4784675347791496,1.9179102616724886,NaN
1.5874010519681994,1.9179102616724886,NaN
1.7043607928571491,1.9179102616724886,NaN
1.8299381297668706,1.9179102616724886,NaN
1.9647680073425282,1.9179102616724886,NaN
2.1095321529632933,1.9179102616724886,NaN
2.2649625236951114,1.9179102616724886,NaN
2.4318450072150157,1.9179102616724886,NaN
2.611023395419619,1.9179102616724886,NaN
2.8034036508091575,1.9179102616724886,NaN
3.009958487218793,1.9179102616724886,NaN
3.231732288058291,1.9179102616724886,NaN
3.4698463869276943,1.9179102616724886,NaN
3.7255047373088623,1.9179102616724886,NaN
4.0,1.9179102616724886,NaN
0.25,2.0092330025650473,NaN
0.2684200049420297,2.0092330025650473,NaN
0.28819719621231704,2.0092330025650473,NaN
0.309431571326357,2.0092330025650473,NaN
0.3322304956185631,2.0092330025650473,NaN
0.35670924510331076,2.0092330025650473,NaN
0.38299158933399347,2.0092330025650473,NaN
0.41121041720714535,2.0092330025650473,NaN
0.44150840887582427,2.0092330025650473,NaN
0.47403875716958577,2.0092330025650473,NaN
0.5089659421686953,2.0092330025650473,NaN
0.5464665628489841,2.0092330025650473,NaN
0.5867302300023132,2.0092330025650473,NaN
0.6299605249474366,2.0092330025650473,NaN
0.6763760288786983,2.0092330025650473,NaN
0.7262114280571625,2.0092330025650473,NaN
0.7797187004322481,2.0092330025650473,NaN
0.8371683896936681,2.0092330025650473,NaN
0.8988509731955419,2.0092330025650473,NaN
0.9650783306691824,2.0092330025650473,NaN
1.0361853211506709,2.0092330025650473,NaN
1.1125314760964868,2.0092330025650473,NaN
1.1945028172479306,2.0092330025650473,NaN
1.2825138084358318,2.0092330025650473,NaN
1.3770094511942694,2.0092330025650473,NaN
1.4784675347791496,2.0092330025650473,NaN
1.5874010519681994,2.0092330025650473,NaN
1.7043607928571491,2.0092330025650473,NaN
1.8299381297668706,2.0092330025650473,NaN
